data_id,country,crop,plant_start,plant_end,plant_range,harvest_start,harvest_end,harvest_range,temp_average,precip_average
80,Burkina Faso,Maize,91,181,91,213,334,122,28.3913598468476,74.2809653618089
81,Burkina Faso,Sorghum,121,212,92,244,365,122,28.8454556160819,64.2592620707625
82,Burkina Faso,Rice,335,365,31,60,120,61,28.3851948538285,74.9984118765005
83,Burundi,Pulses,244,304,61,335,31,62,19.8133009222168,104.381600235593
84,Burundi,Pulses,32,90,59,121,181,61,NA,NA
85,Burundi,Maize,244,304,61,1,59,59,19.8011163234147,104.645437361934
86,Burundi,Maize,32,90,59,152,212,61,19.8011163234147,104.645437361934
87,Burundi,Sorghum,244,304,61,1,59,59,19.8256083792836,104.115017628585
88,Burundi,Sorghum,32,90,59,152,212,61,19.8284908637944,104.047382365784
89,Cambodia,Rice,152,289,138,335,59,90,27.3706437877275,141.62873116249
90,Cambodia,Rice,305,31,92,60,120,61,27.3706437877275,141.62873116249
91,Cambodia,Maize,121,181,61,244,304,61,27.2915354132619,145.135941642469
92,Cameroon,Millet,121,212,92,244,334,91,24.0391569775445,124.332279150156
93,Cameroon,Maize,60,181,122,182,304,123,23.2403538687567,143.179950506393
94,Cameroon,Maize,213,273,61,335,31,62,23.2766903077766,142.712073207825
95,Cameroon,Sorghum,121,212,92,244,334,91,23.9681239383242,125.729667717473
96,Cameroon,Cassava,121,181,61,335,31,62,23.9648469877567,143.493553502589
97,Cameroon,Yams,32,90,59,182,31,215,22.7671536155674,162.068004508162
98,Cameroon,Rice,121,212,92,305,365,61,23.9360304660922,126.040284148994
99,Cape Verde,Maize,182,243,62,274,365,92,21.6117678387356,22.53693765819
100,Cape Verde,Pulses,182,243,62,274,365,92,21.6117678523758,22.5369376018632
101,Central African Republic,Millet,152,212,61,274,319,46,25.2238130007069,104.173251964288
102,Central African Republic (South),Maize,75,90,16,182,243,62,24.9063271577003,127.892976670109
103,Central African Republic (South),Maize,213,258,46,335,365,31,24.9063271577003,127.892976670109
104,Central African Republic,Sorghum,152,181,30,284,319,36,24.9240694010718,110.446072243978
105,Central African Republic,Rice,121,243,123,319,365,47,24.8976038507498,123.275678453328
106,Central African Republic,Cassava,121,181,61,335,31,62,24.795939029698,121.791564261782
107,Central African Republic,Yams,32,90,59,182,31,215,24.7371958776732,126.534866474417
108,Chad,Millet,121,212,92,244,304,61,27.9779824583504,43.9311835511823
109,Chad,Maize,152,212,61,244,304,61,27.8368009338102,50.673403736842
110,Chad,Sorghum,152,212,61,244,334,91,27.4016423272012,66.2330507940759
111,Chad,Rice,152,212,61,213,334,122,26.6731681792319,84.9444632882425
112,Chile,Wheat,101,232,132,344,50,72,11.8716818343657,99.7188157511409
113,Chile,Barley,162,293,132,344,50,72,11.3826210911478,127.491653601136
114,Chile,Maize,253,353,101,40,140,101,12.878897075129,50.694692072905
115,Chile,Rice,284,354,71,71,131,61,13.0972584054702,71.138615172616
116,Chile,Sugarbeets,228,293,66,70,228,159,12.3011645661675,88.322158547935
129,Colombia,Wheat,40,110,71,161,263,103,19.4444158529318,174.380426791821
130,Colombia,Barley,10,141,132,162,263,102,19.9905300364275,171.629818523969
131,Colombia,Maize,40,111,72,213,273,61,23.0739328114643,169.788715246319
132,Colombia,Rice,40,81,42,223,293,71,22.2209334595441,170.434974068745
133,Colombia,Sorghum,10,111,102,132,231,100,23.5233753109508,146.704884104653
134,Colombia,Soybeans,223,263,41,345,50,71,24.3077366283637,207.279737769395
135,Congo,Maize,213,334,122,335,59,90,24.2547840795668,140.88198478878
136,Congo,Maize,32,90,59,152,212,61,24.2547840795668,140.88198478878
137,Congo,Cassava,91,243,153,244,90,212,23.9733883707862,134.793441616957
138,Congo,Yams,32,90,59,182,365,184,24.2553352368301,143.986756075617
139,Congo Dem. Rep.,Millet,91,181,91,244,334,91,23.9639338330187,129.240102096764
140,Congo Dem. Rep. (North),Maize,152,212,61,274,334,61,24.1124672121183,128.291010662706
141,Congo Dem. Rep. (North),Maize,32,90,59,152,212,61,24.1124672121183,128.291010662706
142,Congo Dem. Rep. (Centre),Maize,182,273,92,305,31,92,23.9408341967538,126.289373678946
143,Congo Dem. Rep. (Centre),Maize,305,31,92,60,151,92,23.9408341967538,126.289373678946
144,Congo Dem. Rep. (South),Maize,244,304,61,1,59,59,23.6408084140733,109.475061312237
145,Congo Dem. Rep. (South),Maize,1,59,59,121,181,61,23.6408084140733,109.475061312237
146,Congo Dem. Rep. (Extr-South),Maize,305,365,61,60,151,92,21.2826360220875,94.302073829773
147,Congo Dem. Rep.,Sorghum,91,181,91,244,334,91,23.2108029627127,112.870777103235
148,Congo Dem. Rep. (North),Rice,182,243,62,305,334,30,23.3023453574101,123.82317070254
149,Congo Dem. Rep. (South),Rice,335,31,62,121,151,31,22.7950226776319,119.706743369718
150,Congo Dem. Rep. (North),Cassava,91,243,153,244,90,212,23.8962998373629,127.143030181767
151,Congo Dem. Rep. (South),Cassava,274,59,151,60,273,214,23.3309763876231,120.217460194856
152,Congo Dem. Rep.,Yams,32,90,59,182,365,184,23.4146613962057,122.672054249638
153,Costa Rica,Maize,91,151,61,213,273,61,26.1180403841352,194.043279279425
154,Costa Rica,Maize,213,273,61,305,31,92,26.1180403841352,194.043279279425
155,Costa Rica,Sorghum,244,354,111,91,110,20,NA,NA
156,Costa Rica,Rice,91,151,61,213,273,61,26.074689014372,192.185038055787
157,Costa Rica,Rice,213,273,61,305,31,92,26.074689014372,192.185038055787
158,Cuba,Maize,152,259,108,259,365,107,25.1813179945421,110.892199332478
159,Cuba,Maize,305,365,61,60,120,61,25.1813179945421,110.892199332478
160,Cuba,Rice,60,193,134,193,365,173,25.181317994024,110.892199347974
161,Cuba,Rice,335,59,90,60,212,153,25.181317994024,110.892199347974
162,Cuba,Sweet.Potatoes,162,233,72,284,19,101,25.1813179944697,110.892199314776
163,Cuba,Potatoes,305,365,61,32,120,89,25.1813179959029,110.892199317642
164,Cyprus,Wheat,313,365,53,152,181,30,NA,NA
165,Cyprus,Barley,284,324,41,132,181,50,NA,NA
166,Cyprus,Potatoes,344,51,73,91,161,71,NA,NA
167,Dominican Republic,Maize,60,151,92,182,243,62,24.2545770841787,124.131583017792
168,Dominican Republic,Maize,244,304,61,1,59,59,24.2545770841787,124.131583017792
169,Dominican Republic,Maize,335,31,62,91,151,61,NA,NA
170,Dominican Republic,Sorghum,60,151,92,182,243,62,24.2545770821143,124.131583027564
171,Dominican Republic,Sorghum,244,304,61,1,59,59,24.2545770821143,124.131583027564
172,Dominican Republic,Sorghum,335,31,62,91,151,61,NA,NA
173,Dominican Republic,Rice,335,90,121,121,243,123,24.2545770807384,124.131583011957
174,Dominican Republic,Rice,182,273,92,335,31,62,24.2545770807384,124.131583011957
175,North Korea,Wheat,274,314,41,152,181,30,5.6182822098725,82.1112449988782
176,North Korea,Barley,305,334,30,162,202,41,5.62729015360604,82.1640738026998
177,North Korea,Maize,91,131,41,233,283,51,8.24150530512924,89.4572697464224
178,North Korea,Rice,101,131,31,254,293,40,8.23510795344525,89.400742319231
179,North Korea,Millet,152,181,30,264,293,30,8.23444086757053,89.4012452814361
180,North Korea,Sorghum,91,151,61,254,293,40,8.21277689974645,89.3340354596286
181,North Korea,Potatoes,60,101,42,172,202,31,5.62562827501438,82.1570273385864
182,North Korea,Sweet.Potatoes,71,110,40,223,263,41,5.62360887329113,82.1305338919328
185,North Korea (central bowl),Potatoes,60,90,31,152,212,61,NA,NA
186,North Korea (central bowl),Rice,60,90,31,244,273,30,NA,NA
187,North Korea (central bowl),Maize,60,90,31,244,273,30,NA,NA
188,North Korea (central bowl),Sweet.Potatoes,121,151,31,244,304,61,9.56972753581254,93.1286700488813
189,North Korea (central bowl),Soybeans,152,181,30,244,273,30,9.5684723389739,93.1140351046008
190,North Korea (central bowl),Potatoes,121,166,46,258,304,47,9.56786307982663,93.1069314568393
191,Timor Leste,Maize,305,365,61,32,120,89,24.4787881726513,107.911409689799
192,Timor Leste,Maize,121,212,92,244,334,91,24.4787881726513,107.911409689799
193,Timor Leste,Rice,335,59,90,121,212,92,24.4787881700494,107.911409716605
194,Timor Leste,Rice,91,181,91,213,334,122,24.4787881700494,107.911409716605
195,Ecuador,Wheat,11,111,101,162,263,102,19.7471109197634,131.225870264727
196,Ecuador,Barley,284,90,172,91,263,173,19.1521764945984,129.585642323692
197,Ecuador,Maize,254,355,102,172,254,83,NA,NA
198,Ecuador,Rice,284,52,134,111,202,92,22.1566354909932,120.814951079254
199,Egypt,Wheat,305,334,30,121,161,41,21.413168738911,3.84586554349898
200,Egypt,Barley,315,354,40,100,141,42,21.5465434223329,4.5010801986582
201,Egypt,Maize,112,142,31,283,323,41,21.4417517849717,3.02373980728956
202,Egypt,Rice,112,193,82,283,323,41,20.547988806191,6.71107777987639
203,Egypt,Millet,102,173,72,223,293,71,NA,NA
204,El Salvador,Maize,121,181,61,213,334,122,24.7421190555347,137.953614701768
205,El Salvador,Maize,244,273,30,1,59,59,24.7421190555347,137.953614701768
206,El Salvador,Maize,335,365,31,32,59,28,NA,NA
207,El Salvador,Sorghum,152,212,61,335,45,76,24.8631876704625,140.512077494428
208,El Salvador,Rice,121,181,61,305,31,92,24.0648365094953,134.777758797312
209,El Salvador,Rice,1,59,59,60,120,61,24.0648365094953,134.777758797312
210,El Salvador,Pulses,121,151,31,213,243,31,24.1264598787182,137.406297331352
211,El Salvador,Pulses,213,243,31,335,365,31,NA,NA
212,Eritrea,Wheat,182,212,31,325,365,41,24.0752937638277,36.1668920996638
213,Eritrea,Maize,152,212,61,305,349,45,24.0752937597555,36.1668921059641
214,Eritrea,Millet,152,212,61,305,365,61,24.0752937704005,36.1668921184579
215,Eritrea,Sorghum,152,212,61,305,365,61,24.0752937723409,36.1668921044008
216,Eritrea,Barley,152,232,81,314,365,52,19.786858276958,39.4257323897467
217,Estonia,Multiple,227,304,78,182,227,46,NA,NA
218,Estonia,Wheat,234,284,51,192,234,43,4.94695632654144,52.4421644386658
219,Estonia,Multiple,91,151,61,218,277,60,NA,NA
220,Ethiopia,Wheat,121,181,61,305,365,61,19.2020737715871,89.2556721709202
221,Ethiopia,Maize,60,143,84,274,345,72,19.8534230902609,87.5330758216571
222,Ethiopia,Other,121,181,61,305,365,61,NA,NA
223,Ethiopia,Sorghum,60,142,83,274,345,72,20.4476938174854,82.8871866176304
224,Ethiopia,Millet,121,181,61,305,20,81,20.1158675454841,86.3326075704009
225,Ethiopia,Oats,102,243,142,274,31,123,18.4526068805929,94.2947427422205
226,Ethiopia,Barley,121,181,61,305,365,61,19.6770749353747,81.6837487221942
227,Ethiopia,Multiple,32,90,59,121,181,61,NA,NA
228,French Guiana,Maize,11,80,70,102,161,60,26.23347024227,234.969512856215
229,French Guiana,Rice,314,120,172,121,293,173,26.2334702438566,234.969513183152
230,Gabon,Maize,244,304,61,335,31,62,24.7748203824429,170.554564282471
231,Gabon,Maize,1,59,59,121,181,61,24.7748203824429,170.554564282471
232,Gabon,Cassava,91,243,153,244,90,212,24.7698787706134,170.487847339148
233,Gabon,Yams,32,90,59,182,365,184,24.7723912829342,170.513059402704
234,The Gambia,Millet,152,212,61,274,318,45,27.5916281975693,79.7570696577525
235,The Gambia,Maize,121,212,92,244,304,61,27.8090396512091,80.0795924229393
236,The Gambia,Sorghum,152,212,61,274,318,45,27.7608849177398,81.1260583185278
237,The Gambia,Rice,152,212,61,274,334,61,27.0415242789237,86.8483228767968
238,The Gambia,Groundnuts,152,212,61,305,59,120,27.4656148544405,81.2034557782935
239,Georgia,Wheat,227,304,78,182,227,46,9.96721700331026,80.423987321697
240,Georgia,Maize,91,181,91,213,273,61,9.98010871677191,80.3984672019613
241,Ghana,Millet,121,212,92,274,334,61,28.0121355876895,90.2218277781512
242,Ghana (South),Maize,60,120,61,213,273,61,26.6832818174887,106.691932488149
243,Ghana (North),Maize,152,181,30,213,304,92,27.9594518829124,93.2454184598555
244,Ghana,Maize,213,273,61,335,31,62,26.8923352608842,104.480683469853
245,Ghana,Sorghum,121,212,92,274,334,61,27.9733024868397,91.0306390575674
246,Ghana (South),Rice,91,151,61,244,304,61,26.7446332885726,109.432383799353
247,Ghana (North),Rice,121,212,92,274,365,92,27.9712315299996,92.2183172752649
248,Ghana,Cassava,60,151,92,1,181,181,26.7143226008778,107.50525976891
249,Ghana,Yams,32,90,59,213,365,153,26.8832471357332,107.766865889286
250,Guatemala,Maize,91,151,61,213,334,122,21.5147768708053,151.746132847382
251,Guatemala,Maize,213,273,61,305,59,120,21.5147768708053,151.746132847382
252,Guatemala,Wheat,101,172,72,253,324,72,22.3638160764104,153.873466533255
253,Guatemala,Sorghum,91,151,61,213,334,122,23.2755168505879,134.909039372205
254,Guatemala,Sorghum,213,273,61,305,59,120,23.2755168505879,134.909039372205
255,Guatemala,Rice,91,181,91,244,304,61,22.3789539628362,153.46217062057
256,Guatemala,Potatoes,152,181,30,253,293,41,22.363768843395,153.871598001876
257,Guinea,Millet,121,181,61,274,334,61,25.1731888606262,148.09882721905
258,Guinea,Maize,121,181,61,274,334,61,24.8778334686739,138.840258101389
259,Guinea,Sorghum,121,181,61,274,334,61,25.5682539800654,128.909394025967
260,Guinea,Rice,121,243,123,274,31,123,25.076174297084,169.700795529025
261,Guinea,Cassava,91,181,91,1,212,212,25.1475219411658,159.041129596858
262,Guinea,Yams,60,120,61,213,31,184,24.7279150177683,141.415104120431
263,Guinea-Bissau,Millet,121,181,61,244,304,61,27.1911221850565,128.670022525986
264,Guinea-Bissau,Maize,121,181,61,244,304,61,27.2661277303337,130.076161481585
265,Guinea-Bissau,Sorghum,121,181,61,244,304,61,27.2880511713481,129.356078350497
266,Guinea-Bissau,Rice,152,243,92,274,31,123,27.1357835042228,138.957433398745
267,Guyana,Maize,71,101,31,101,141,41,NA,NA
268,Guyana,Rice,101,142,42,253,324,72,26.8432992794153,192.447458159775
269,Guyana,Soybeans,162,203,42,314,354,41,NA,NA
270,Haiti,Maize,60,120,61,152,243,92,24.0905126691562,128.02424594989
271,Haiti,Maize,32,90,59,152,212,61,24.0905126691562,128.02424594989
272,Haiti,Sorghum,152,273,122,1,31,31,24.0905126671742,128.024245985175
273,Haiti,Rice,32,120,89,152,273,122,24.0905126672342,128.024245997744
274,Haiti,Rice,213,273,61,305,365,61,24.0905126672342,128.024245997744
275,Haiti,Pulses,60,120,61,152,181,30,24.0905126621333,128.024246027583
276,Haiti,Pulses,182,243,62,274,304,31,NA,NA
277,Haiti,Pulses,305,365,61,32,59,28,NA,NA
291,Indonesia (Java),Rice,274,334,61,60,120,61,26.1141713411322,208.260237752838
292,Indonesia (Java),Rice,121,181,61,213,273,61,26.1141713411322,208.260237752838
293,Indonesia (South Sulawesi (east)),Rice,305,365,61,60,120,61,25.6235481339588,179.563554895252
294,Indonesia (South Sulawesi (west)),Rice,121,181,61,213,273,61,25.4326826489023,213.056673307413
295,Indonesia (Sumatra),Rice,213,273,61,32,90,59,26.1034426319055,207.692646969066
296,Indonesia (Sumatra),Rice,60,120,61,182,243,62,26.1034426319055,207.692646969066
299,Iran,Wheat,244,314,71,152,201,50,14.5589850379224,30.4310952847518
300,Iran,Barley,253,21,134,60,90,31,14.6556715098195,29.9383767493172
301,Iran,Rice,101,112,12,222,232,11,15.1236038125317,46.1925876460502
302,Iran,Potatoes,132,143,12,253,263,11,13.8011410224779,29.0724130690248
303,Iran,Sugarbeets,40,142,103,253,19,132,14.9694721124682,24.0694014393633
304,Iraq,Wheat,314,354,41,132,202,71,21.3393320895214,24.5498848653027
305,Iraq,Barley,283,354,72,101,171,71,21.5720682728119,22.0357963560854
306,Iraq,Millet,71,141,71,192,262,71,NA,NA
307,Iraq,Sorghum,71,141,71,161,263,103,NA,NA
308,Iraq,Potatoes,32,59,28,152,181,30,21.655107673173,23.1346400880301
309,Israel,Wheat,294,354,61,111,151,41,18.970217978418,43.0147246757174
310,Israel,Barley,314,354,41,102,171,70,18.9711335768356,43.0007949083589
311,Israel,Sorghum,70,102,33,182,243,62,18.9743558856484,42.9419650090714
312,Israel,Potatoes,345,81,102,91,243,153,18.9745431718921,42.9573627032331
313,Israel,Sugarbeets,253,293,41,131,232,102,18.9743558815007,42.9419650498355
314,Cote d'Ivoire,Millet,121,212,92,274,334,61,26.7368389998246,96.4613984339053
315,Cote d'Ivoire,Maize,60,120,61,213,273,61,26.3322356438183,105.993015758095
316,Cote d'Ivoire,Maize,213,273,61,335,31,62,26.33232559286,105.999823635327
317,Cote d'Ivoire,Sorghum,121,212,92,274,334,61,26.6725821997748,97.5274047858014
318,Cote d'Ivoire,Rice,91,212,122,244,365,122,26.3262404459135,106.092393818097
319,Cote d'Ivoire,Cassava,60,151,92,1,181,181,26.3287993197883,106.065531879419
320,Cote d'Ivoire,Yams,32,90,59,182,365,184,26.3283969509195,106.053853069683
321,Japan,Rice,132,202,71,258,324,67,11.9322523386018,136.357479907149
322,Japan,Wheat,263,334,72,152,202,51,8.75608429893222,116.362304845127
323,Japan,Potatoes,60,151,92,152,282,131,10.8780332635842,132.458454262132
324,Jordan,Wheat,315,20,71,132,202,71,17.461438443476,20.6267904394048
325,Jordan,Barley,314,21,73,100,172,73,17.3640617128472,21.6112882972792
326,Jordan,Sorghum,71,173,103,223,263,41,18.0347415868112,28.1021675857371
327,Jordan,Potatoes,40,80,41,152,181,30,17.3327821047526,17.7632148203554
328,Kazakhstan,Multiple,121,181,61,244,304,61,NA,NA
329,Kazakhstan,Wheat,121,155,35,221,273,53,2.75930135577052,26.6225551740042
330,Kazakhstan,Barley,91,151,61,217,277,61,4.0774455487148,27.3719543798869
331,Kazakhstan,Cotton,106,147,42,262,323,62,3.55040360286278,26.9520912658066
332,Kenya,Wheat,132,181,50,274,334,61,23.4912079360153,70.5025621508355
333,Kenya,Maize,60,120,61,274,334,61,23.492317688057,70.44425502356
334,Kenya,Maize,274,334,61,60,120,61,23.4914136801239,70.47766448863
335,Kenya,Millet,60,110,51,152,304,153,23.4923176933659,70.4442549813488
336,Kenya,Millet,274,334,61,60,120,61,NA,NA
337,Kenya,Sorghum,32,120,89,213,273,61,23.4898518746832,70.6163959679902
338,Kenya,Sorghum,274,334,61,60,120,61,23.4689715151223,70.955471732722
339,Kenya,Barley,51,110,60,182,31,215,23.4889483305595,70.5372862734592
340,Kenya,Barley,274,334,61,60,120,61,NA,NA
341,Kenya,Pulses,76,120,45,244,304,61,23.4881202492186,70.5435296754775
342,Kenya,Pulses,274,334,61,60,120,61,NA,NA
343,Kyrgyzstan,Wheat,229,284,56,152,229,78,3.00811733483261,37.5517357346278
344,Kyrgyzstan,Maize,91,181,91,213,273,61,3.00178036761997,37.5430842970531
345,Kyrgyzstan,Cotton,107,147,41,263,323,61,3.01591569574501,37.5507926951211
346,Laos,Rice,137,197,61,274,365,92,24.658229574131,150.816340062015
347,Laos,Rice,319,31,78,91,120,30,24.658229574131,150.816340062015
348,Latvia,Multiple,227,304,78,182,227,46,NA,NA
349,Latvia,Wheat,232,282,51,191,232,42,5.68474753748006,54.0337878321763
350,Latvia,Rye,227,264,38,166,227,62,5.68474753817275,54.0337878342372
351,Latvia,Multiple,91,181,91,213,273,61,NA,NA
352,Latvia,Barley,91,151,61,218,278,61,5.68474753746329,54.0337878318399
353,Lebanon,Wheat,284,20,102,162,233,72,15.3616617884694,57.4287684028796
354,Lebanon,Sorghum,101,142,42,253,293,41,14.4086177664049,57.4430182831852
355,Lesotho,Wheat,121,151,31,305,334,30,11.5403566095083,68.3632160590176
356,Lesotho,Maize,274,365,92,121,181,61,12.6295306438039,64.8008969776411
357,Lesotho,Sorghum,305,365,61,137,181,45,12.8829475807039,63.7190949830421
358,Liberia,Rice,91,212,122,244,365,122,25.1904431760637,215.915441544661
359,Liberia,Cassava,60,151,92,1,181,181,25.2218618054699,217.108546770254
360,Liberia,Yams,32,90,59,182,365,184,25.1523067207471,208.186516527308
361,Libya,Wheat,283,324,42,121,171,51,19.5528315125428,27.4247928230266
362,Libya,Barley,283,324,42,101,141,41,19.5528315070068,27.424792850617
363,Libya,Millet,71,80,10,192,233,42,19.5528315269986,27.4247927398568
364,Libya,Potatoes,10,51,42,132,172,41,19.5528315158929,27.4247928157056
365,Lithuania,Multiple,228,304,77,182,228,47,NA,NA
366,Lithuania,Wheat,233,283,51,192,233,42,6.1716283924472,54.6201947095791
367,Lithuania,Rye,228,263,36,188,228,41,6.14980768029916,55.262979547634004
368,Lithuania,Multiple,91,181,91,213,273,61,NA,NA
369,Lithuania,Barley,91,151,61,218,278,61,6.16339503508942,54.9280348988509
370,Macedonia,Wheat,289,349,61,152,212,61,10.160315691488,53.7901689557336
371,Macedonia,Rice,111,151,41,213,243,31,10.1567018639909,53.8516900416161
372,Macedonia,Maize,107,166,60,228,304,77,10.1448879833276,53.9770102594804
374,Macedonia,Sunflower,112,151,40,257,304,48,10.1787729822909,53.7067912113332
375,Macedonia,Pulses,107,176,70,197,243,47,10.1561116049112,53.8569658649902
376,Macedonia,Sugarbeets,121,181,61,258,304,47,10.1685729476847,53.828545285902
377,Macedonia,Other,289,339,51,44,105,62,NA,NA
378,Macedonia,Other,107,167,61,167,243,77,NA,NA
379,Macedonia,Other,45,76,32,76,243,168,NA,NA
380,Macedonia,Multiple,305,120,181,141,304,164,NA,NA
381,Madagascar,Wheat,121,151,31,305,334,30,22.5886499168088,140.398452518289
382,Madagascar,Rice,305,16,77,91,181,91,22.0940629883801,156.959326195379
383,Madagascar,Maize,305,365,61,75,120,46,21.115070684706,129.576480876457
384,Madagascar,Sorghum,335,365,31,121,151,31,22.5886499162518,140.398452433586
385,Madagascar,Potatoes,253,323,71,40,140,101,17.4877357544417,117.212455307653
386,Madagascar,Sweet.Potatoes,40,136,97,136,354,219,21.0304848426011,123.071902083025
387,Malawi,Wheat,32,81,50,192,243,52,21.3385733983054,90.3419025444821
388,Malawi,Rice,314,365,52,121,192,72,22.0136294722063,104.713603238192
389,Malawi,Maize,257,319,63,106,167,62,21.3243571368313,95.0194292633908
390,Malawi,Sorghum,335,365,31,152,181,30,22.2155562924978,100.871673236773
391,Malaysia (Sabah prov.),Rice,161,263,103,344,109,131,25.6247617471719,204.774510960845
392,Malaysia (Sarawak prov.),Rice,223,263,41,11,141,131,25.8560985569313,289.659960948564
393,Mali,Millet,121,212,92,244,334,91,28.4801883834601,50.2428435358718
394,Mali,Maize,121,212,92,244,334,91,27.5217198356617,79.7514900684493
395,Mali,Sorghum,121,212,92,244,334,91,28.0782455703565,62.6784568917883
396,Mali,Rice,152,212,61,319,31,78,28.5603808380681,46.478314758629
397,Mali,Rice,274,365,92,60,120,61,NA,NA
398,Mauritania,Millet,182,243,62,274,334,61,29.4300151348757,27.8714893934055
399,Mauritania,Maize,182,243,62,274,334,61,29.4350128419834,29.8113351561427
400,Mauritania,Sorghum,182,243,62,274,365,92,29.5980804134405,30.1226621499384
401,Mauritania,Rice,152,197,46,274,334,61,28.4265430049168,22.6497257876738
402,Mauritania,Rice,274,365,92,60,120,61,28.4265430049168,22.6497257876738
403,Mauritania,Multiple,274,304,31,32,59,28,NA,NA
404,Mauritania,Multiple,305,334,30,60,120,61,NA,NA
407,Mexico,Rice,101,202,102,253,19,132,24.5035558715639,125.47545212603
411,Mexico,Soybeans,101,202,102,254,354,101,24.9875397714514,124.561998469226
412,Mexico,Potatoes,40,142,103,142,354,213,19.6659838058954,78.5002309843144
